Lorne 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 6 0 0 0 6 0 0 6 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Loronda 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lorra 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 6 8 5 6 0 12 6 0 11 9 12 20 17 24 14 18 30 18 20 19 20 11 17 13 14 5 5 9 8 13 8 0 11 0 9 6 9 7 0 6 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lorrae 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lorrain 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 11 9 8 13 22 21 13 17 16 14 15 17 13 10 15 9 6 0 7 11 11 9 11 7 7 7 7 0 8 8 17 7 8 15 7 5 14 13 7 8 12 12 12 16 12 15 19 9 17 10 5 6 6 0 9 0 8 0 0 0 9 8 0 5 0 7 6 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lorraina 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 7 0 0 6 0 0 0 0 6 5 7 8 0 6 0 6 0 0 8 0 0 0 13 5 0 0 7 0 0 6 7 9 13 5 13 9 5 13 9 10 6 10 5 6 0 12 8 6 9 7 6 0 7 12 6
Lorraine 0 0 6 0 9 5 7 6 20 20 25 21 31 28 36 48 45 56 75 75 119 101 103 125 126 149 159 192 253 269 310 365 554 724 968 1324 1671 1961 3874 3978 3928 4533 4669 4765 5105 4984 4890 5729 5985 5344 5166 4585 4162 3796 3775 3402 3170 2938 2741 2591 2582 2686 3010 3016 3044 3207 3886 4411 3745 3457 3345 3480 3461 3309 3461 3373 3427 3418 3159 3142 3332 3112 2948 2591 2354 2060 1743 1522 1330 1248 1160 977 774 734 635 656 543 494 506 523 501 490 471 430 379 413 356 374 363 332 341 306 279 278 213 215 185 158 143 151 164 125 118 130 128 97 110 156 122 100 82 107 86 121
Lorrainne 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lorrane 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 7 0 0 5 0 0 5 0 8 0 5 5 0 6 5 0 0 0 0 0 0 5 0 0 6 0 0 0 6 6 0 5 0 5 0 0 5 0 7 5 5 8 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lorrayne 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 10 13 24 22 45 29 32 48 53 40 57 57 31 37 30 16 12 11 13 14 9 0 0 11 5 6 5 0 10 7 5 9 6 7 9 8 6 8 8 0 0 10 6 9 0 7 6 6 0 8 7 6 0 0 5 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 7 0 0 0 0
