carlosmanuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,6,5,8,0,0,0,0,0,7,0,0
carloss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,9,0,5,0,9,0,9,0,5,5,6,6,0,10,7,5,0,7,9,0,9,9,7,9,9,13,14,11,12,5,12,0,8,12,18,18,17,10,21,16,6,13,16,5,9,0,6,0,9,6,6,6,10,5,11,5,5,5,0,6,0,0,6,0,9,6,0,0,6,0,0,0,0,0,0,0
carlson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,6,0,5,0,6,8,0,0,0,0,0,0,8,0,8,7,0,7,0,11,10,5,6,7,9,9,5,0,10,7,12,7,5,8,5,13,13,8,0,8,0,5,0,5,7,7,7,6,6,7,15,6,0,0,0,0,0,5,0,7,6,5,5,7,11,8,10,10,11,8,8,11,6,7,15,6,15,12,13,10,13,12,14,9,11,8,9,12,9,10
carlston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlton,13,16,21,19,20,18,22,13,19,29,17,22,21,21,30,27,31,28,31,31,38,41,37,33,47,48,49,49,48,61,89,108,201,198,283,349,395,387,432,397,441,481,446,451,430,449,481,484,551,502,469,503,524,491,479,488,483,548,535,495,492,510,516,548,485,500,541,637,550,582,569,667,696,715,834,872,906,954,890,813,849,770,814,762,777,640,649,612,603,511,585,598,463,479,451,498,396,466,436,469,443,391,444,383,366,378,376,352,382,477,529,469,437,396,356,328,284,269,246,224,225,208,175,154,137,180,143,146,128,114,122,102,99,87
carlus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,5,9,0,8,7,0,5,6,9,6,0,5,5,5,0,0,0,5,5,5,5,0,6,8,8,0,5,0,7,7,0,5,6,7,5,0,6,0,5,5,0,7,13,6,8,8,10,9,10,8,16,20,18,17,10,16,9,15,13,14,12,11,12,9,7,5,11,6,0,0,0,5,0,7,0,0,0,0,5,6,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0
carlvin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,10,11,0,7,7,14,0,13,11,7,8,6,7,8,0,5,5,6,0,0,6,0,0,9,0,0,6,0,0,0,0,0,0
carlyle,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,10,0,0,6,5,6,0,0,0,7,0,0,14,9,11,11,10,45,34,53,72,89,101,115,101,96,87,95,90,77,76,77,66,67,60,59,66,58,64,54,61,53,46,42,48,39,40,39,40,44,36,33,48,37,45,56,30,26,38,46,38,32,25,33,24,28,20,18,8,21,16,13,9,17,18,21,20,17,14,14,18,17,15,11,21,16,13,22,13,22,13,9,21,20,16,21,20,19,19,10,13,12,10,14,14,5,13,12,10,5,7,10,9,10,10,12,13,10,19
