Garrek 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Garrel 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 6 5 0 0 7 0 5 0 7 6 0 10 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Garrell 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 5 5 8 0 0 8 7 8 6 0 8 6 9 0 0 6 0 5 5 6 0 10 8 5 9 0 7 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Garren 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 10 10 10 11 7 13 16 16 10 13 9 13 12 12 14 10 14 12 16 14 19 29 31 33 33 32 28 37 42 36 40 38 43 39 34 33 36 34 38 38 52 68 47 58 51 51 49 42 54 54 34 37 34 34 31
Garret 0 6 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 10 9 15 16 7 8 15 0 9 12 15 5 6 10 17 16 13 13 11 16 9 10 10 9 14 5 10 18 9 10 29 19 14 26 28 22 31 29 31 33 30 39 40 35 29 34 33 60 63 92 104 102 95 97 95 89 88 100 63 88 66 76 62 63 64 83 126 144 140 156 196 192 260 272 252 254 325 380 358 497 485 416 438 455 477 458 527 590 468 383 343 301 299 277 211 163 155 130 122 107 65
Garreth 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 7 0 0 7 11 11 5 8 0 0 0 0 6 0 6 6 5 9 6 11 9 12 8 17 10 19 9 16 11 9 13 11 10 18 14 8 16 16 10 7 10 10 6 0 8 0 6 5 8
Garrett 13 7 15 13 15 9 16 14 10 16 15 12 17 15 11 19 47 35 23 16 29 11 12 15 13 12 21 21 28 10 17 23 42 32 61 75 62 67 81 84 83 79 93 82 75 73 83 79 62 77 52 72 73 58 74 79 69 75 75 99 108 98 103 143 110 119 155 152 168 168 164 184 171 164 169 174 173 201 180 194 182 217 252 319 310 290 318 336 384 487 602 605 542 492 528 567 559 720 809 1208 1287 1498 1456 1516 1730 2053 2386 2583 2646 3313 3755 4053 4267 4713 4758 4709 4653 4544 4788 5075 5840 5061 4356 3976 3689 3262 2964 2559 2447 2058 1957 1938 1738 1605
Garrette 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 5 7 0 0 0 0 0 0 0 7 6 0 6 5 0 5 0 8 0 0 0 6 5 0 0 0 0 8 5 9 7 0 6 8 5 5 5 9 22 16 11 10 9 19 9 15 11 14 16 9 20 10 6 8 7 0 0 7 0 0 5
Garrey 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 6 0 5 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Garrhett 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Garric 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
Garrick 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 11 10 15 17 12 23 14 20 29 35 35 43 25 28 33 18 32 34 37 41 51 47 69 58 71 89 100 201 233 137 112 107 90 94 84 104 103 112 108 85 110 95 82 85 258 251 168 133 122 89 94 72 79 76 84 79 70 72 75 59 49 70 43 53 44 42 42 41 24
Garrie 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 6 0 8 5 0 8 9 0 7 7 13 17 10 11 17 11 11 9 27 11 19 5 6 8 11 7 5 9 5 5 7 0 0 5 0 0 6 0 0 6 5 5 0 5 0 0 6 0 5 0 0 0 0 0 0 5 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Garrik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 6 0 0 0 11 0 0 0 0 7 0 0 5 0 0 0 0
Garrin 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 8 5 7 0 10 0 0 7 7 0 0 6 0 6 9 0 6 9 12 5 12 10 11 10 11 9 6 11 13 6 22 13 15 18 13 11 15 17 17 19 13 9 8 6
